Card   1: 75 68 35 36 86 83 30 11 14 59 | 86 25 63 57 59 91 68 14 72 32 36 74 66 44 30 28 11 35 75 34 55 83 69 56 38
Card   2: 49 62 66 89 53 16 59 19 58 99 | 99 29 21 59 53 66  1 77 15 92 98 23  9 49 75  4 16 12 62 89 58 82 19 60 14
Card   3: 37 77  5 90 41 15 46 27 38 53 | 47 27 41 90 77 53 65 50 69 72 37 91  9 31 67 11 46 56 85 49 15 20 40  5 38
Card   4: 97 24 29 70 37 95 83 78 66 19 | 24 44 21 29 39 51 78 79 66 97 19 88 89 35 83 95 84 70  6 34 62 32 37 72 80
Card   5: 41 58 67 35 33 36 73 70 64 55 | 93 29 77 60 56 35 68 53  2 55  3 92 81 78  8 30 87 73 64 85 16 20 33  5 66
Card   6: 25 72 59 52 79  4 17 15 69 41 | 98 84 36 15 71 67 53 34 26 48 43 90 94 89 85 81 45 29 47 75  7 82 27 19 96
Card   7: 12 52 49 53 59 96 72  2 56 66 | 83 68 10 33 44 53 79 20 71 92 11 48 81 84 26 14 27 36 93 97 12 90 99 31 35
Card   8: 53 46 23 30 11 20 64 81  7 18 | 58 46 97  6  8 53 75 18 33 64 23 73 11 10 20 44 86 67  4 68 30 81  7 91 15
Card   9: 51 31 21 26 16 92 37 66  2 56 | 90  1 21 65 76 73 37 61 74 18 70 68 16  2 92 93 26 66 41 51 87 31 56 39 78
Card  10: 97 65 81 32 36  9 35  5 60 29 | 92 80  6 29 20 30 85 11 60 10  7 62 36 70 17 43 79 72 89 34 97 32 35 77 39
Card  11: 10 11 97 96 33 18 79 46 51 80 | 73 16 58 18 97 11 79 52 46 33 56 96 92 51 37  5 29  6 61 80 90 66 10 34 38
Card  12: 66 26 81 28 20  1 59 11 70  9 | 81 72  5 27 26 97 78 16 94 62 47 75 43 37  1 25 44 60 51 55  7 63 87 12 93
Card  13: 44 56 25 36 35 12  2 28 19 22 | 31  2 14 22 12 89 36 61 30 15 68 99  7 35 39 74 67 52 25 84 18 58 77 81 80
Card  14: 69 28  5 99 31 46 84 26 66 37 | 21 15  5 69 35  2 85 44 58 90 27 94 86 50  9 97 24 84 30 18 28 99 36 37 59
Card  15: 56 78 61 36 25 16 92 32 29 97 | 61  3 85 49 36 29 79 56 44 50 60 78 15 54 77 16 21 32 10 17 97  2 92  6 37
Card  16: 16 43 91 36 27 19 49 70 79 68 | 40 51 26 95 10 44 90 12 88 85 86 34 94 32 41 81 66 17 87 53 83 72 18 14 45
Card  17: 66 49 60 87  9 35 86 80 40 26 | 48  1 82 34 53 78 30  4 86 22 97 26 54  2 49 88 23 94 13 90 32 98 38 51 25
Card  18:  7  1 88 50 42 51 60 58 21 66 | 29 53 16 52 77 99 98 54 70 97 17 96 15 91 40 87 45 72 75 11  2 32 81 26 82
Card  19: 35 56 44 99 24 79 78  6 41 23 | 44 85 63 65 75 95 38  6 86 42 62 56 71 34  9 43 50 46 15 66 23 72 45 87 79
Card  20: 90 42 20 45 98 86  1 13  9 25 |  8 93 14 29 23 59 61 62 85 15 72 89 21 91 92 66  4 90 31 10  5 87 79 47 11
Card  21: 10 51  4 33 77 26 53 60 15 17 | 50 40 37 48 32 69 68 62 89 17  1 80 14 88  5 27 61 51 11 21 59 96 49 94 34
Card  22: 12 68 81 66 61 20 28 64 62 44 | 42 23 53 48 13 88 70 50  3 80 95 25 22 99 55 30 26 78 47  9 27 73 92 56 15
Card  23: 14 79 23 60 16 55 83 45 58 52 | 61 91  4 33 84  2 13 44 17 54 65 29 42 88 66 81 74 10 22 92 15 30  8 28  3
Card  24: 38 11 15 57 50 47 31 98 33 96 | 34 64 52 67 49 24 63 54 51 92 29 22 41 73 17 84 12 53 32 71 28 86  2 75  8
Card  25: 57 58 44 15 71 31 22 24 14 48 | 99 31 44 24 60 14 16  2 19 48 58 55 71 15 50 22 85 96 34 68 28  4 69 79 57
Card  26: 44  4 24 52 21 81 69 38 32 55 | 22 52 44 62 15 55 34 79 41 81 61 21 27 43 40 51 24  4 23 69 75 31 32 38 92
Card  27: 92 48 63 57 82 29 58  3 31 32 | 90 34 49 20 48 45 29 74 58 76 32  9  3 63 31 84 92 57 40 79  8 78 77 82 88
Card  28: 88 63 12 31 87 27 21 40  4 26 | 19 12 14 87 66 47 85 42 86 10 56 91 29 98 97 37 21  6 30 82 34 80 23 63 89
Card  29: 50 25 33 31 26 99  2 95 67 45 | 14 90  8 51 27 11 43 61 64 74 16 84 76 19 17 23 53 81 42 38 66 32 88 18 22
Card  30: 80 85 86 93 12 35 79 43 95 32 | 47  7 67 93 76 16 95 86 45 23 18 70 30 32 90 12 43 79 24 80 48 10 85 60 35
Card  31: 24 89 26 13 42 65 20 88 57 64 | 98  6  4 96 26 56 86 44 28 10 77 64 16 20 65 18 41 89 90 38 48 72 24 36 85
Card  32:  9 81 55 58 34 49 46 71 70 15 | 45 49 92 99 17 10 85 61 28 78 94 48 88 62 80 63  1  3 95 24 69 11 82 33 50
Card  33: 59 31  3 85 81 20 91 33 16 39 | 24  3 89 45 74 93 78 19 96 73 57  8 75 59 88 87 20 13 32 15 42 61 69 39 23
